CountryName,Overall_per_country,Governance,Availability,Capability,Company Information,Political Integrity,Public Procurement,Public Finance,Governance Foundation,Critical Competencies,Equitable Access,Land Management,Law-vs-release gap,Regional rank,Gdp,Population,GovForm,Flag
Angola,29.04,31.84,17.72,36.07,28.67,12.08,72.47,60.18,43.85,22.42,40,8.04,14.12,25,80 397,36.8,Presidential republic,🇦🇴
Argentina,58.23,59.26,55.04,60.76,47.8,50.39,70.96,91.05,64.94,54.31,58.33,58.37,4.22,7,633 267,46.6,Federal presidential republic,🇦🇷
Bahamas,27.95,31.2,9.77,48.99,26.67,14.44,60.16,45.04,50.96,26.09,0,0,21.43,26,15 180,0.42,Parl. constitutional monarchy,🇧🇸
Barbados,27.83,28.29,9.81,49.88,24.1,9.67,57.69,46.43,42.52,35.29,43,0,18.48,27,7 553,0.28,Parliamentary republic,🇧🇧
Belize,23.09,26.33,9.74,39.53,29.3,9.44,29.35,30.33,51.07,20.34,0,6.53,16.59,36,3 610,0.44,Parl. constitutional monarchy,🇧🇿
Benin,29.97,26.6,18.87,45.91,28.87,11.43,75.24,74.08,47.08,22.49,3,18.55,7.73,24,21 483,13.6,Presidential republic,🇧🇯
Bolivia,24.81,25.55,17.07,38.93,10.2,20.74,58.32,24.55,32.7,24.45,18.67,14.82,8.48,33,49 668,12.1,Presidential republic,🇧🇴
Botswana,22.78,26.01,13.18,36.52,34.9,10.57,41.66,20.22,52.01,14.13,3,0,12.83,37,26 430,2.7,Parliamentary republic,🇧🇼
Brazil,66.85,68.32,55.59,70.36,42.04,60.54,74.43,91.53,76.13,73.31,90,44.42,12.73,1,2 179 412,216.4,Federal presidential republic,🇧🇷
Burkina Faso,27.36,32.62,18.8,34.83,13.52,16.43,56.97,57.18,49.84,12.18,16,28.31,13.82,28,23 250,23.4,Military transition govt.,🇧🇫
Cameroon,21.48,24.61,13.62,28.7,15.87,9.76,66.86,80.98,19.97,15.14,16,6.89,10.99,40,51 327,29.9,Presidential republic,🇨🇲
Chile,66.42,60.36,66,70.34,34.27,77.73,95.21,68.13,68.8,61.78,46.67,47.54,-5.64,2,330 267,19.7,Presidential republic,🇨🇱
Colombia,61.22,66.18,42.07,71.49,43.4,49.41,87.71,67.49,78.85,79.41,13.33,32.57,24.11,5,418 542,52.4,Presidential republic,🇨🇴
